"","Ticker","Name","Trade Value","Liquidity","Category","Portfolio","Eff_Date","An_Date"
"6","PRGO","Perrigo Company plc","145.17760655193229","0.84300012603963204","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"7","BRK/B","Berkshire Hathaway B","265.2661080529241","0.60663250604041119","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"8","HCN","Health Care REIT Inc","55.206008546371073","0.41485897908826663","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"9","URI","United Rentals Inc","64.116553738668159","0.40695463937417481","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"10","MET","Metlife Inc","113.93265867239587","0.40601840870876793","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"11","AVB","AvalonBay Communities Inc","38.428318130555795","0.3813804103455018","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"12","VRTX","Vertex Pharmaceuticals Inc","56.963874607283728","0.37735222501959992","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"13","ROP","Roper Industries Inc","17.480883681620909","0.37210313394075206","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"14","CRM","Salesforce.com","107.49309428808793","0.37129189751804187","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"15","ESS","Essex Property Trust","23.875373574682087","0.34906411164244677","Most Illiquid Net Buys","S&P 500",2014-12-19,2014-12-05
"17","RJF","Raymond James Financial Inc","18.474785457963499","0.68860732787230006","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"18","HME","Home Properties of New York","10.129910873517549","0.55949740526100089","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"19","ARE","Alexandria Real Estate Eqty","17.029171810130382","0.50076818123265976","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"20","SAIC","Science Applications International Corp","4.8923787314375318","0.48809238217324907","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"21","ESL","Esterline Technologies","9.1206929893676794","0.48652562597129762","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"22","UDR","UDR Inc","19.062797886022825","0.48443544978383091","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"23","SXT","Sensient Technologies Corp","4.2167464099980263","0.45647426592382029","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"24","BMR","BioMed Realty Trust Inc","11.442744107142387","0.43242361228533244","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"25","AJG","Gallagher Arthur J. & Co","11.445830802054113","0.42694399904278796","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"26","ACC","American Campus Communities Inc","10.678373852508329","0.4056703358721378","Most Illiquid Net Buys","S&P 400",2014-12-19,2014-12-05
"28","HMN","Horace Mann Educators","2.5479918313356178","0.88359203634258543","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
