"","date","AAPL US EQUITY","IBM US EQUITY","MSFT US EQUITY"
"1","2006-12-29",12.12,97.15,29.86
"2","2007-01-31",12.2471,99.15,30.86
"3","2007-02-28",12.0871,93.24,28.27
"4","2007-03-30",13.2729,94.5643,27.9689
"5","2007-04-30",14.2571,102.5399,30.0463
"6","2007-05-31",17.313,107.3454,30.8994
"7","2007-06-29",17.4343,105.9859,29.671
"8","2007-07-31",18.8229,111.4237,29.1877
"9","2007-08-31",19.7829,117.9087,29.0266
"10","2007-09-28",21.9243,119.0303,29.7642
"11","2007-10-31",27.1357,117.3328,37.19
"12","2007-11-30",26.0314,106.6827,34.058
"13","2007-12-31",28.2971,109.6444,36.0853
"14","2008-01-31",19.3371,108.6403,33.0444
"15","2008-02-29",17.86,115.8924,27.6822
"16","2008-03-31",20.5,117.1953,28.8832
"17","2008-04-30",24.85,122.8545,29.0257
"18","2008-05-30",26.9643,132.2493,28.9341
"19","2008-06-30",23.92,121.1119,28.1065
"20","2008-07-31",22.7071,130.7677,26.2777
"21","2008-08-29",24.2186,124.8924,27.9941
"22","2008-09-30",16.2371,119.9985,27.3787
"23","2008-10-31",15.37,95.3853,22.9062
"24","2008-11-28",13.2386,84.2329,20.8751
"25","2008-12-31",12.1929,86.8755,20.0698
"26","2009-01-30",12.8757,94.6072,17.654
"27","2009-02-27",12.7586,95.5156,16.8074
"28","2009-03-31",15.0171,100.5596,19.1178
"29","2009-04-30",17.9757,107.119,21.0847
"30","2009-05-29",19.4014,110.8761,21.8757
"31","2009-06-30",20.3471,108.9357,24.8916
"32","2009-07-31",23.3414,123.0299,24.6298
"33","2009-08-31",24.03,123.7289,25.9492
"34","2009-09-30",26.4786,125.3639,27.0756
"35","2009-10-30",26.9286,126.412,29.1916
"36","2009-11-30",28.5586,133.0046,31.097
"37","2009-12-31",30.1046,137.7942,32.2283
"38","2010-01-29",27.4376,128.836,29.7964
"39","2010-02-26",29.2314,134.4362,30.452
"40","2010-03-31",33.5714,135.5886,31.1079
"41","2010-04-30",37.2986,136.3815,32.4329
"42","2010-05-31",36.6971,133.1147,27.5417
"43","2010-06-30",35.9329,131.2231,24.5633
"44","2010-07-30",36.75,136.4516,27.5523
"45","2010-08-31",34.7286,131.5419,25.1878
"46","2010-09-30",40.5357,143.3041,26.2881
"47","2010-10-29",42.9971,153.4104,28.6228
"48","2010-11-30",44.45,151.8186,27.2837
"49","2010-12-31",46.08,157.5067,30.149
"50","2011-01-31",48.4743,173.8626,29.9491
"51","2011-02-28",50.4586,174.4314,28.8851
"52","2011-03-31",49.7868,175.7137,27.5919
"53","2011-04-29",50.0186,183.806,28.1679
"54","2011-05-31",49.69,182.8362,27.3528
"55","2011-06-30",47.9529,185.6719,28.4356
"56","2011-07-29",55.7829,196.8198,29.9667
"57","2011-08-31",54.9757,186.8733,29.2668
"58","2011-09-30",54.4743,190.0909,27.3853
"59","2011-10-31",57.8257,200.7004,29.2998
"60","2011-11-30",54.6,205.179,28.3645
"61","2011-12-30",57.8571,200.6826,28.7859
"62","2012-01-31",65.2114,210.1994,32.7445
"63","2012-02-29",77.4914,215.5253,35.4169
"64","2012-03-30",85.65,228.5841,35.9915
"65","2012-04-30",83.4257,226.8641,35.7237
"66","2012-05-31",82.5329,212.2606,32.7946
"67","2012-06-29",83.4286,215.2096,34.3675
"68","2012-07-31",87.2514,215.6497,33.1092
"69","2012-08-31",95.4129,215.3416,34.8506
