"","ticker","date","TOT_RETURN_INDEX_GROSS_DVDS","PE_RATIO"
"1","IBM US EQUITY","2006-12-29",97.15,15.9524
"2","IBM US EQUITY","2007-01-31",99.15,16.2808
"3","IBM US EQUITY","2007-02-28",93.24,15.2611
"4","IBM US EQUITY","2007-03-30",94.5643,15.1543
"5","IBM US EQUITY","2007-04-30",102.5399,16.4325
"6","IBM US EQUITY","2007-05-31",107.3454,17.1383
"7","IBM US EQUITY","2007-06-29",105.9859,16.3941
"8","IBM US EQUITY","2007-07-31",111.4237,17.2352
"9","IBM US EQUITY","2007-08-31",117.9087,18.176
"10","IBM US EQUITY","2007-09-28",119.0303,17.7143
"11","IBM US EQUITY","2007-10-31",117.3328,17.4617
"12","IBM US EQUITY","2007-11-30",106.6827,15.8165
"13","IBM US EQUITY","2007-12-31",109.6444,15.0348
"14","IBM US EQUITY","2008-01-31",108.6403,14.8971
"15","IBM US EQUITY","2008-02-29",115.8924,15.8359
"16","IBM US EQUITY","2008-03-31",117.1953,15.0904
"17","IBM US EQUITY","2008-04-30",122.8545,15.8191
"18","IBM US EQUITY","2008-05-30",132.2493,16.9633
"19","IBM US EQUITY","2008-06-30",121.1119,14.6153
"20","IBM US EQUITY","2008-07-31",130.7677,15.7805
"21","IBM US EQUITY","2008-08-29",124.8924,15.0099
"22","IBM US EQUITY","2008-09-30",119.9985,13.7925
"23","IBM US EQUITY","2008-10-31",95.3853,10.9634
"24","IBM US EQUITY","2008-11-28",84.2329,9.6226
"25","IBM US EQUITY","2008-12-31",86.8755,9.3929
"26","IBM US EQUITY","2009-01-30",94.6072,10.2288
"27","IBM US EQUITY","2009-02-27",95.5156,10.2712
"28","IBM US EQUITY","2009-03-31",100.5596,10.7611
"29","IBM US EQUITY","2009-04-30",107.119,11.463
"30","IBM US EQUITY","2009-05-29",110.8761,11.804
"31","IBM US EQUITY","2009-06-30",108.9357,11.125
"32","IBM US EQUITY","2009-07-31",123.0299,12.5644
"33","IBM US EQUITY","2009-08-31",123.7289,12.5772
"34","IBM US EQUITY","2009-09-30",125.3639,12.2304
"35","IBM US EQUITY","2009-10-30",126.412,12.3326
"36","IBM US EQUITY","2009-11-30",133.0046,12.9196
"37","IBM US EQUITY","2009-12-31",137.7942,12.8998
"38","IBM US EQUITY","2010-01-29",128.836,12.0612
"39","IBM US EQUITY","2010-02-26",134.4362,12.5312
"40","IBM US EQUITY","2010-03-31",135.5886,12.3136
"41","IBM US EQUITY","2010-04-30",136.3815,12.3856
"42","IBM US EQUITY","2010-05-31",133.1147,12.0265
"43","IBM US EQUITY","2010-06-30",131.2231,11.622
"44","IBM US EQUITY","2010-07-30",136.4516,12.0851
"45","IBM US EQUITY","2010-08-31",131.5419,11.5891
"46","IBM US EQUITY","2010-09-30",143.3041,12.2341
"47","IBM US EQUITY","2010-10-29",153.4104,13.0969
