Portfolio,Short,Csname,catshort,catlong,Vintage,Unfunded.Date,Commit,Unfunded,Benchmark,Legacy,CSDate,Closed,InvestEnd,TermEnd,Extension,ExtTime,ExtUsed,Grow,Yield,Method,ICPCat,Consultant,Sponsor,AdvBoard,FundSizeM,Ticker,City
FARM,IFM,"IFM Global Infrastructure (US), L.P.",FARM,Farmland/Infrastructure,2012,1/31/2017,300,0,,K,9/30/2016,FALSE,,,,,,,,,R,,,TRUE,3226900,,
FARM,USFRT,"U.S. Farming Realty Trust II, LP",FARM,Farmland/Infrastructure,2013,,175,0,,K,,FALSE,,,,,,,,,R,,,TRUE,430000,,
OPP,AresSIF,"Ares Saguaro Income Opportunity Fund, L.P.",Spec,Special Situation,2016,,300,300,,A,,FALSE,,,,,,,,,,,Ares,TRUE,302000,,
OPP,Ave3,"Avenue Europe Special Situations Fund III (U.S.), L.P.",Spec,Special Situation,2015,,100,42,,A,,FALSE,6/5/2019,6/5/2021,4,1,0,,,,,,Avenue,TRUE,,,
OPP,AveAZ,Avenue-ASRS Europe Opportunities Fund L.P.,Spec,Special Situation,2015,,250,105,,A,,FALSE,6/5/2019,6/5/2021,4,1,0,,,,,,Avenue,TRUE,,,
OPP,AveEuro,"Avenue Europe Special Situations Fund II (U.S.), L.P.",Spec,Special Situation,2011,,250,0,,A,,FALSE,,,,,,,,,,,,TRUE,1736500,,
OPP,BlkCI2,"Blackrock Credit Investors II, L.P.",BankHY,Bank Loans/HY,2008,,0,0,,A,,FALSE,,,,,,,,,,,Blackrock,,301500,,
OPP,BlkMort,"Blackrock Mortgage Investors, LP",CDO,RMBS/CMBS/CDO,2008,,0,0,,A,,FALSE,,,,,,,,,,,Blackrock,,168800,,
OPP,CSFI,*Credit Suisse Fixed Income Opportunistic Fund,RMBS,ABS/RMBS/CMBS,2009,,0,0,,A,,TRUE,,,,,,,,,,,,,200000,,
OPP,Fortress,Fortress MSR Opportunities Fund II A LP,OPCr,Opportunistic Credit,2013,,200,4,,A,,TRUE,,,,,,,,,,,,,11000000,,
OPP,GSCact,GSO Cactus Credit Opportunities Fund LP,OPCr,Opportunistic Credit,2014,,350,100,,A,,TRUE,,,,,,,,,,,Blackstone,,353500,,
OPP,GSO,Blackstone/GSO Capital Solutions Fund LP,Corp,Corporate,2010,,0,0,,A,,TRUE,,,,,,,,,,,Blackstone,,2430500,,NYC
OPP,Gugg,Guggenheim Partners Asset Magement,RMBS,ABS/RMBS/CMBS,2008,,0,0,,A,,FALSE,,,,,,,,,,,,,150000,,
OPP,Hyper,*Hyperion Asset Magement,RMBS,ABS/RMBS/CMBS,2008,,0,0,,A,,TRUE,,,,,,,,,,,,,150000,,
OPP,LCM,LCM Partners CO IV LP,OPCr,Opportunistic Credit,2016,,350,350,,A,,FALSE,,,,,,,,,,,LCM,TRUE,353500,,
