Author,Title,Year,Score, read ,Modern Library         100 best of 20th century compiled in 1998,Man Booker,NBCC,National Book Award,Pen/Faulkner,Pulitzer,"  Esquire           75 best, sept 2008",Flanagan          best of 21st century,Observer           100 best of all time compiled in 2003,Daniel Burt      100 greatest novels of all time compiled in 2004,Radcliffe          100 best of 20th century compiled in 1998,Time Magazine         100 best novels since 1923 compiled in 2005,NYTimes      best novels of last 25 years compiled in 2006
"Mahajan, Karen",The Association of Small Bombs,2016,1,,,,,,,,,,,,,,2016
"McGuire, Ian",The North Water,2016,1,,,,,,,,,,,,,,2016
"Whitehead, Colson",The Underground Railroad,2016,2,,,,,1,,,,,,,,,2016
"Kang, Han",The Vegetarian,2016,1,1,,,,,,,,,,,,,2016
"Hertmans, Stefan",War and Turpentine,2016,1,,,,,,,,,,,,,,2016
"Hannaham, James ",Delicious Foods,2016,1,1,,,,,1,,,,,,,,
"Nguyen, Viet Thanh",The Sympathizer,2016,1,,,,,,,1,,,,,,,
"Beatty, Paul",The Sellout,2015,3,1,,1,1,,,,,,,,,,2015
"Berlin, Lucia",A Manual for Cleaning Women,2015,1,1,,,,,,,,,,,,,2015
"Cusk, Rachel",Outline,2015,1,1,,,,,,,,,,,,,2015
"Ferrante, Elena",The Story of the Lost Child Book 4; Neopolitan Novels,2015,1,1,,,,,,,,,,,,,2015
"James, Marlon",A Brief History of Seven Killings,2015,1,,,1,,,,,,,,,,,
"Johnson, Adam",Fortune Smiles,2015,1,1,,,,1,,,,,,,,,
"Lish, Atticus",Preparation for the Next Life,2015,1,,,,,,1,,,,,,,,
"Doerr, Anthony",All the Light We Cannot See,2014,2,1,,,,,,1,,,,,,,2014
"Flanagan, Richard",The Narrow Road to the Deep North,2014,1,1,,1,,,,,,,,,,,
"Fowler, Karen Joy",We Are All Completely Beside Ourselves,2014,1,1,,,,,1,,,,,,,,
"Greene, Amy",Long Man,2014,0,1,,,,,,,,,,,,,
"King, Lilly",Euphoria,2014,1,1,,,,,,,,,,,,,2014
"Klay, Phil",Redeployment,2014,2,1,,,,1,,,,,,,,,2014
"Ofill, Jenny",Dept. of Speculation,2014,1,1,,,,,,,,,,,,,2014
"Robinson, Marilynne",Lila,2014,1,1,,,1,,,,,,,,,,
"Sharma, Akil",Family Life,2014,1,1,,,,,,,,,,,,,2014
"Ferrante, Elena",Those Who Leave and Those Who Stay,2013,0,1,,,,,,,,,,,,,
"Adichie, Chimamanda",Americanah,2013,2,1,,,1,,,,,,,,,,2013
"Atkinson, Kate",Life after Life,2013,1,1,,,,,,,,,,,,,2013
"Catton, Eleanor",The Luminaries,2013,1,1,,1,,,,,,,,,,,
"Johnson, Adam",The Orphan Master's Son,2013,1,,,,,,,1,,,,,,,
"Kushner, Rachel",Flamethrowers,2013,1,1,,,,,,,,,,,,,2013
"McBride, James ",The Good Lord Bird,2013,1,1,,,,1,,,,,,,,,
"Saenz, Benjamin Alire",Everything Begins and Ends at the Kentucky Club,2013,1,,,,,,1,,,,,,,,
"Saunders, George",Tenth of December,2013,1,1,,,,,,,,,,,,,2013
