Transaction Date,Client Grouping 1,Cash Flow Type,Best Available Cash Flow Amt
9/30/2016,USFRT,EV,190395952
9/25/2013,USFRT,C,-64871308
10/28/2013,USFRT,C,-14651163
1/15/2014,USFRT,C,-14936047
4/22/2014,USFRT,C,-4069767
6/26/2014,USFRT,C,-6023256
9/10/2014,USFRT,C,-10377907
10/9/2014,USFRT,C,-29790698
12/19/2014,USFRT,C,-6063954
12/30/2014,USFRT,C,790398
3/30/2015,USFRT,C,1733069
6/19/2015,USFRT,C,-15709302
7/30/2015,USFRT,C,-12144186
12/28/2015,USFRT,C,479176
4/4/2016,USFRT,C,1511073
9/30/2016,IFM,EV,335794008.1
12/1/2014,IFM,C,-300000000
1/1/2015,IFM,C,0
5/1/2015,IFM,C,0
7/1/2015,IFM,C,0
1/21/2016,IFM,C,0
7/22/2016,IFM,C,0
8/22/2016,IFM,C,0
9/30/2016,AresSIF,EV,187026663
6/3/2016,AresSIF,C,-75000000
7/5/2016,AresSIF,C,-25000000
7/11/2016,AresSIF,C,-25000000
7/18/2016,AresSIF,C,-25000000
7/25/2016,AresSIF,C,-25000000
9/30/2016,AveEuro,EV,114632480
1/12/2012,AveEuro,C,-28995345
2/24/2012,AveEuro,C,-7500000
3/13/2012,AveEuro,C,-4530164
4/12/2012,AveEuro,C,-6000000
5/11/2012,AveEuro,C,-7500000
6/21/2012,AveEuro,C,-37796224
10/4/2012,AveEuro,C,-17500000
11/27/2012,AveEuro,C,-15000000
1/8/2013,AveEuro,C,-15000000
3/7/2013,AveEuro,C,-15000000
6/7/2013,AveEuro,C,-15000000
8/9/2013,AveEuro,C,-12500000
9/13/2013,AveEuro,C,-12500000
2/13/2014,AveEuro,C,-12500000
5/21/2014,AveEuro,C,-10000000
7/24/2014,AveEuro,C,-12500000
8/19/2014,AveEuro,C,-21317638
10/16/2014,AveEuro,C,14396671
12/22/2014,AveEuro,C,17995839
2/5/2015,AveEuro,C,35991679
5/5/2015,AveEuro,C,37124761
6/18/2015,AveEuro,C,14849904
10/14/2015,AveEuro,C,4454970
12/29/2015,AveEuro,C,7424952
2/8/2016,AveEuro,C,15592400
5/16/2016,AveEuro,C,29819276
7/1/2016,AveEuro,C,9357837
7/29/2016,AveEuro,C,5038835
8/19/2016,AveEuro,C,5758668
9/30/2016,Ave3,EV,53395799
6/19/2015,Ave3,C,-15000000
8/26/2015,Ave3,C,-15000000
10/14/2015,Ave3,C,-15000000
12/18/2015,Ave3,C,-10000000
1/25/2016,Ave3,C,10041484
5/26/2016,Ave3,C,-7000000
9/30/2016,AveAZ,EV,115063302
6/19/2015,AveAZ,C,-25000000
8/26/2015,AveAZ,C,-25000000
10/14/2015,AveAZ,C,-25000000
1/25/2016,AveAZ,C,-25000000
5/26/2016,AveAZ,C,-12500000
9/30/2016,BlkCI2,EV,0
9/29/2008,BlkCI2,C,-40000000
11/3/2008,BlkCI2,C,-30000000
1/26/2009,BlkCI2,C,738325.22
6/18/2009,BlkCI2,C,22354694.49
10/23/2009,BlkCI2,C,56026825.63
6/18/2010,BlkCI2,C,-33500000
7/27/2010,BlkCI2,C,6376952.56
8/11/2010,BlkCI2,C,1316577.62
9/24/2010,BlkCI2,C,1085091.44
11/12/2010,BlkCI2,C,1085091.45
1/21/2011,BlkCI2,C,1238144.77
2/10/2011,BlkCI2,C,2536470.81
4/1/2011,BlkCI2,C,1100153.36
4/15/2011,BlkCI2,C,1446788.59
5/18/2011,BlkCI2,C,3342350.49
3/15/2012,BlkCI2,C,2447561.32
5/15/2012,BlkCI2,C,1460790.03
8/14/2012,BlkCI2,C,2183884.09
1/25/2013,BlkCI2,C,7523458.89
5/15/2013,BlkCI2,C,3197066.24
6/30/2013,BlkCI2,C,0
10/1/2013,BlkCI2,C,2832135.02
5/15/2014,BlkCI2,C,1535374.57
9/23/2014,BlkCI2,C,1104499.82
6/12/2015,BlkCI2,C,2238941.83
8/5/2016,BlkCI2,C,159174.64
9/30/2016,BlkMort,EV,0
3/28/2008,BlkMort,C,-75000000
4/18/2008,BlkMort,C,13740.25
2/27/2012,BlkMort,C,964495.64
6/8/2012,BlkMort,C,11745700.65
7/31/2012,BlkMort,C,9605922.38
9/5/2012,BlkMort,C,5538304.31
10/5/2012,BlkMort,C,1454938.04
11/9/2012,BlkMort,C,6124968.85
12/6/2012,BlkMort,C,3058885.26
1/10/2013,BlkMort,C,3252401.21
2/12/2013,BlkMort,C,2874529.6
3/8/2013,BlkMort,C,1893077.93
5/10/2013,BlkMort,C,1791896.46
8/13/2013,BlkMort,C,1507440.86
9/13/2013,BlkMort,C,1906256.66
10/11/2013,BlkMort,C,18118017.75
11/18/2013,BlkMort,C,9359321.88
12/30/2013,BlkMort,C,31897785.62
2/20/2014,BlkMort,C,21841.97
6/27/2014,BlkMort,C,234000.13
10/2/2014,BlkMort,C,933566.33
4/1/2016,BlkMort,C,8274.87
7/13/2016,BlkMort,C,1657.72
9/30/2016,GSO,EV,0
1/15/2010,GSO,C,-20192369
4/30/2010,GSO,C,-29376522
5/19/2010,GSO,C,4480853
6/21/2010,GSO,C,-28071354
6/30/2010,GSO,C,26119738
7/16/2010,GSO,C,3291831
8/30/2010,GSO,C,464788
9/1/2010,GSO,C,4867099
9/23/2010,GSO,C,-14973916
10/12/2010,GSO,C,5256006
11/5/2010,GSO,C,4502153
11/26/2010,GSO,C,128583
12/15/2010,GSO,C,-7676835
1/14/2011,GSO,C,601684
1/26/2011,GSO,C,889572
2/7/2011,GSO,C,-6141461
4/11/2011,GSO,C,-500861
5/2/2011,GSO,C,6822578
6/16/2011,GSO,C,2362975
7/6/2011,GSO,C,-7366892
8/19/2011,GSO,C,-20075786
9/12/2011,GSO,C,-12278143
9/28/2011,GSO,C,-6139072
10/6/2011,GSO,C,-10129468
11/7/2011,GSO,C,-12278143
12/5/2011,GSO,C,-1201634
2/1/2012,GSO,C,11826835
2/14/2012,GSO,C,4756671
2/15/2012,GSO,C,-3659768
2/22/2012,GSO,C,6681775
2/28/2012,GSO,C,2253679
3/6/2012,GSO,C,1933459
3/14/2012,GSO,C,1819587
3/26/2012,GSO,C,-11970767
3/28/2012,GSO,C,-9692350
5/4/2012,GSO,C,-8448531
5/14/2012,GSO,C,16180095
7/1/2012,GSO,C,126684422
9/30/2016,CSFI,EV,0
10/22/2009,CSFI,C,-50000000
11/10/2009,CSFI,C,-50000000
1/12/2010,CSFI,C,-10000000
1/25/2010,CSFI,C,-10000000
1/27/2010,CSFI,C,-10000000
3/19/2010,CSFI,C,-30000000
4/9/2010,CSFI,C,-20000000
4/30/2010,CSFI,C,-20000000
12/12/2011,CSFI,C,20000000
12/15/2011,CSFI,C,6000000
12/16/2011,CSFI,C,25000000
12/20/2011,CSFI,C,5000000
12/29/2011,CSFI,C,17000000
1/10/2012,CSFI,C,8000000
1/11/2012,CSFI,C,6000000
1/13/2012,CSFI,C,9000000
1/17/2012,CSFI,C,4000000
2/14/2012,CSFI,C,26998877.8
2/15/2012,CSFI,C,4238355.09
2/16/2012,CSFI,C,2674633.81
2/17/2012,CSFI,C,14814890.91
2/21/2012,CSFI,C,1406848.57
2/22/2012,CSFI,C,42170.46
2/23/2012,CSFI,C,1647642.65
2/24/2012,CSFI,C,4009654.32
2/28/2012,CSFI,C,15554709.75
2/29/2012,CSFI,C,1336788.82
3/1/2012,CSFI,C,7845702.77
3/2/2012,CSFI,C,5349686.57
3/5/2012,CSFI,C,593057.15
3/6/2012,CSFI,C,1570866.53
3/8/2012,CSFI,C,364499.99
3/9/2012,CSFI,C,2467398.87
3/12/2012,CSFI,C,3964.33
3/13/2012,CSFI,C,44297.29
3/14/2012,CSFI,C,1892711.99
3/16/2012,CSFI,C,990500.46
3/19/2012,CSFI,C,83680
3/20/2012,CSFI,C,4441.36
3/21/2012,CSFI,C,488804.7
3/22/2012,CSFI,C,2785813.18
3/23/2012,CSFI,C,477152.22
3/26/2012,CSFI,C,368676.22
