ShortName,Date,Amount ,Type
Almc4,12/31/2008,51641975,V
Almc5,12/31/2008,7488765,V
BlkCI2,12/31/2008,65034057,V
BlkMort,12/31/2008,48930581,V
Brdwy,12/31/2008,2884791,V
BREP6,12/31/2008,13183807,V
CBREOp5,12/31/2008,9443984,V
CBREV5,12/31/2008,2985795,V
CIM3,12/31/2008,-337685,V
CIMUrbn,12/31/2008,50082282,V
Clny8,12/31/2008,8274945,V
Crlyl5,12/31/2008,29552278,V
Dune1,12/31/2008,26866124,V
E5,12/31/2008,0,V
EIG,12/31/2008,35884138,V
Fvemle2,12/31/2008,7478489,V
Hines,12/31/2008,15539768,V
Htmn2,12/31/2008,10392807,V
Hunt3,12/31/2008,22672947,V
INGL,12/31/2008,0,V
Invesco2,12/31/2008,3209127,V
LaSalle,12/31/2008,43048448,V
Lone6,12/31/2008,64238750,V
LoneREF,12/31/2008,6086663,V
PLAres3,12/31/2008,27897888,V
PLAret1,12/31/2008,56562700,V
PRISA2,12/31/2008,34901358,V
RREEF2,12/31/2008,32536578,V
TCWCrdt,12/31/2008,74822673,V
Tish6,12/31/2008,14488544,V
Tish7,12/31/2008,5657657,V
Twr3300,12/31/2008,38451000,V
Twr3JV,12/31/2008,1212500,V
Urdng,12/31/2008,0,V
Wstbk7,12/31/2008,1772346,V
AccelKKR,3/31/2009,5793311,V
Almc4,3/31/2009,51594712,V
Almc5,3/31/2009,5751557,V
Aplo7,3/31/2009,7049312,V
Atls8,3/31/2009,582592,V
BlkCI2,3/31/2009,72141883,V
BlkMort,3/31/2009,46111565,V
Brdgpt4,3/31/2009,1661026,V
Brdwy,3/31/2009,3099461,V
BREP6,3/31/2009,11382292,V
CBREOp5,3/31/2009,9297039,V
CBREV5,3/31/2009,2002549,V
CIM3,3/31/2009,542663,V
CIMUrbn,3/31/2009,50140652,V
Clny8,3/31/2009,9204000,V
ClrChn,3/31/2009,330336,V
CMEA6,3/31/2009,2958283,V
Crlyl5,3/31/2009,32220575,V
CrwnEu2,3/31/2009,3766728,V
CVC5,3/31/2009,5674991,V
Dune1,3/31/2009,21827348,V
Dune2,3/31/2009,1227528,V
EIG,3/31/2009,28398374,V
FirstR12,3/31/2009,17951000,V
Fvemle2,3/31/2009,14186333,V
Hines,3/31/2009,13328502,V
Htmn2,3/31/2009,12073834,V
Hunt3,3/31/2009,19680696,V
IDG,3/31/2009,1568344,V
Invesco2,3/31/2009,2799098,V
JLL6,3/31/2009,9794191,V
Jrdn2,3/31/2009,8426916,V
LaSalle,3/31/2009,32530415,V
