Date,IRS,HY,EMD
1/31/2005,1,0,0
2/28/2005,1,0,0
3/31/2005,1,0,0
4/30/2005,1,0,0
5/31/2005,1,0,0
6/30/2005,1,0,0
7/31/2005,1,0,0
8/31/2005,1,0,0
9/30/2005,1,0,0
10/31/2005,1,0,0
11/30/2005,1,0,0
12/31/2005,1,0,0
1/31/2006,1,0,0
2/28/2006,1,0,0
3/31/2006,1,0,0
4/30/2006,1,0,0
5/31/2006,1,0,0
6/30/2006,1,0,0
7/31/2006,1,0,0
8/31/2006,1,0,0
9/30/2006,1,0,0
10/31/2006,1,0,0
11/30/2006,1,0,0
12/31/2006,1,0,0
1/31/2007,1,0,0
2/28/2007,1,0,0
3/31/2007,1,0,0
4/30/2007,1,0,0
5/31/2007,1,0,0
6/30/2007,1,0,0
7/31/2007,1,0,0
8/31/2007,1,0,0
9/30/2007,1,0,0
10/31/2007,1,0,0
11/30/2007,1,0,0
12/31/2007,1,0,0
1/31/2008,1,0,0
2/29/2008,1,0,0
3/31/2008,1,0,0
4/30/2008,1,0,0
5/31/2008,1,0,0
6/30/2008,1,0,0
7/31/2008,1,0,0
8/31/2008,1,0,0
9/30/2008,1,0,0
10/31/2008,1,0,0
11/30/2008,1,0,0
12/31/2008,1,0,0
1/31/2009,1,0,0
2/28/2009,1,0,0
3/31/2009,1,0,0
4/30/2009,1,0,0
5/31/2009,1,0,0
6/30/2009,1,0,0
7/31/2009,1,0,0
8/31/2009,1,0,0
9/30/2009,1,0,0
10/31/2009,1,0,0
11/30/2009,1,0,0
12/31/2009,1,0,0
1/31/2010,1,0,0
2/28/2010,1,0,0
3/31/2010,1,0,0
4/30/2010,1,0,0
5/31/2010,1,0,0
6/30/2010,1,0,0
7/31/2010,1,0,0
8/31/2010,1,0,0
9/30/2010,1,0,0
10/31/2010,1,0,0
11/30/2010,1,0,0
12/31/2010,1,0,0
1/31/2011,0.93,0.07,0
2/28/2011,0.93,0.07,0
3/31/2011,0.93,0.07,0
4/30/2011,0.93,0.07,0
5/31/2011,0.93,0.07,0
6/30/2011,0.93,0.07,0
7/31/2011,0.93,0.07,0
8/31/2011,0.93,0.07,0
9/30/2011,0.93,0.07,0
10/31/2011,0.93,0.07,0
11/30/2011,0.93,0.07,0
12/31/2011,0.93,0.07,0
1/31/2012,0.93,0.07,0
2/29/2012,0.93,0.07,0
3/31/2012,0.93,0.07,0
4/30/2012,0.93,0.07,0
5/31/2012,0.93,0.07,0
6/30/2012,0.93,0.07,0
7/31/2012,0.93,0.07,0
8/31/2012,0.93,0.07,0
9/30/2012,0.93,0.07,0
10/31/2012,0.93,0.07,0
11/30/2012,0.93,0.07,0
12/31/2012,0.59,0.23,0.18
1/31/2013,0.59,0.23,0.18
2/28/2013,0.59,0.23,0.18
3/31/2013,0.59,0.23,0.18
4/30/2013,0.59,0.23,0.18
5/31/2013,0.59,0.23,0.18
6/30/2013,0.59,0.23,0.18
7/31/2013,0.59,0.23,0.18
8/31/2013,0.59,0.23,0.18
9/30/2013,0.59,0.23,0.18
10/31/2013,0.59,0.23,0.18
11/30/2013,0.59,0.23,0.18
12/31/2013,0.59,0.23,0.18
1/31/2014,0.59,0.23,0.18
2/28/2014,0.59,0.23,0.18
3/31/2014,0.59,0.23,0.18
4/30/2014,0.59,0.23,0.18
5/31/2014,0.59,0.23,0.18
6/30/2014,0.59,0.23,0.18
7/31/2014,0.59,0.23,0.18
8/31/2014,0.59,0.23,0.18
9/30/2014,0.59,0.23,0.18
10/31/2014,0.59,0.23,0.18
11/30/2014,0.59,0.23,0.18
12/31/2014,0.59,0.23,0.18
1/31/2015,0.59,0.23,0.18
2/28/2015,0.59,0.23,0.18
3/31/2015,0.59,0.23,0.18
4/30/2015,0.73,0.27,0
5/31/2015,0.73,0.27,0
6/30/2015,0.73,0.27,0
7/31/2015,0.73,0.27,0
8/31/2015,0.73,0.27,0
9/30/2015,0.73,0.27,0
10/31/2015,0.73,0.27,0
11/30/2015,0.73,0.27,0
12/31/2015,0.73,0.27,0
1/31/2016,0.73,0.27,0
2/29/2016,0.73,0.27,0
3/31/2016,0.73,0.27,0
4/30/2016,0.73,0.27,0
5/31/2016,0.73,0.27,0
6/30/2016,0.73,0.27,0
7/31/2016,0.73,0.27,0
8/31/2016,0.73,0.27,0
9/30/2016,0.73,0.27,0
10/31/2016,0.73,0.27,0
11/30/2016,0.73,0.27,0
12/31/2016,0.73,0.27,0
1/31/2017,0.73,0.27,0
