Date,IRS.BM,HY.BM,EMD.BM
Feb-07,0.01542,0.013985,0.013803
Mar-07,3.10E-05,0.001059,0.030813
Apr-07,0.005392,0.012995,0.030146
May-07,-0.007579,0.007475,0.019997
Jun-07,-0.002958,-0.01796,-0.001603
Jul-07,0.008341,-0.035411,0.00906
Aug-07,0.012257,0.013635,-0.016692
Sep-07,0.007586,0.026173,0.060753
Oct-07,0.008983,0.005995,0.043233
Nov-07,0.017983,-0.021693,-0.013101
Dec-07,0.002809,0.002918,0.002217
Jan-08,0.016798,-0.013348,0.015457
Feb-08,0.001388,-0.013641,0.015732
Mar-08,0.003412,-0.003446,-0.008772
Apr-08,-0.00209,0.043097,0.013929
May-08,-0.007333,0.003611,0.006074
Jun-08,-0.000808,-0.027956,-0.012945
Jul-08,-0.000816,-0.013322,0.061749
Aug-08,0.009491,0.003501,-0.03478
Sep-08,-0.013432,-0.079774,-0.053802
Oct-08,-0.023604,-0.159068,-0.140745
Nov-08,0.03255,-0.093132,0.006017
Dec-08,0.037309,0.076836,0.098371
Jan-09,-0.008823,0.05994,-0.059629
Feb-09,-0.003774,-0.031027,-0.052986
Mar-09,0.013901,0.031889,0.057138
Apr-09,0.004781,0.121047,0.084258
May-09,0.007253,0.067284,0.056494
Jun-09,0.005688,0.02864,0.012407
Jul-09,0.01613,0.060861,0.046094
Aug-09,0.010354,0.018649,0.005242
Sep-09,0.010505,0.056948,0.033225
Oct-09,0.004938,0.017947,0.009594
Nov-09,0.012947,0.010074,0.022216
Dec-09,-0.015631,0.032808,-0.003593
Jan-10,0.015276,0.012651,0.002546
Feb-10,0.003734,0.001746,0.011223
Mar-10,-0.001228,0.031352,0.040119
Apr-10,0.010412,0.023438,0.015714
May-10,0.008411,-0.035931,-0.043449
Jun-10,0.015682,0.012445,0.008879
Jul-10,0.010674,0.03556,0.055232
Aug-10,0.012866,0.000365,0.006815
Sep-10,0.001067,0.030127,0.057588
Oct-10,0.003558,0.025827,0.012843
Nov-10,-0.005748,-0.011687,-0.046462
Dec-10,-0.010783,0.018132,0.031358
Jan-11,0.001161,0.022062,-0.015463
Feb-11,0.002502,0.013107,0.01489
Mar-11,0.000553,0.003235,0.029471
Apr-11,0.012696,0.015498,0.047276
May-11,0.013052,0.004878,-0.011988
Jun-11,-0.002929,-0.009736,0.004595
Jul-11,0.015869,0.01159,0.01367
Aug-11,0.014611,-0.040025,0.000455
Sep-11,0.007272,-0.032689,-0.098254
Oct-11,0.001076,0.05993,0.055777
Nov-11,-0.000869,-0.021563,-0.03412
Dec-11,0.010991,0.026566,-0.014706
Jan-12,0.008776,0.030358,0.074153
Feb-12,-0.000228,0.023749,0.028633
Mar-12,-0.005479,-0.001392,-0.019853
Apr-12,0.011089,0.010468,0.009613
May-12,0.009047,-0.013059,-0.073195
Jun-12,0.000392,0.021117,0.055784
Jul-12,0.013794,0.019023,0.022389
Aug-12,0.000655,0.011706,-0.001124
Sep-12,0.001372,0.013917,0.026194
Oct-12,0.001967,0.008786,0.005157
Nov-12,0.001578,0.008001,0.014097
Dec-12,-0.001424,0.015756,0.021593
Jan-13,-0.006994,0.013405,0.007188
Feb-13,0.005015,0.005078,-0.003219
Mar-13,0.000798,0.010183,-0.005155
Apr-13,0.010121,0.018091,0.034326
May-13,-0.017846,-0.0058,-0.062528
Jun-13,-0.015466,-0.026222,-0.041302
Jul-13,0.001367,0.018953,-0.005576
Aug-13,-0.005114,-0.006073,-0.040931
Sep-13,0.009467,0.009931,0.043981
Oct-13,0.008084,0.025053,0.02748
Nov-13,-0.00374,0.005075,-0.036412
Dec-13,-0.005651,0.005397,-0.005483
Jan-14,0.014776,0.007011,-0.046309
Feb-14,0.005315,0.020231,0.039248
Mar-14,-0.001703,0.002364,0.028095
Apr-14,0.008441,0.006333,0.008919
May-14,0.011382,0.009199,0.020793
Jun-14,0.000517,0.008352,0.01002
Jul-14,-0.002509,-0.013334,-0.010592
Aug-14,0.01104,0.015852,0.0048
Sep-14,-0.006787,-0.020939,-0.051084
Oct-14,0.009828,0.01189,0.015629
Nov-14,0.007094,-0.007284,-0.013106
Dec-14,0.000935,-0.014477,-0.059274
Jan-15,0.020969,0.006607,0.003354
Feb-15,-0.009402,0.0241,-0.013424
Mar-15,0.004642,-0.005476,-0.029804
Apr-15,-0.003588,0.012066,0.029185
May-15,-0.002408,0.003036,-0.025787
Jun-15,-0.010905,-0.014884,-0.012176
Jul-15,0.006951,-0.005823,-0.02564
Aug-15,-0.001438,-0.017419,-0.053788
Sep-15,0.006764,-0.026024,-0.029689
Oct-15,0.00017,0.027491,0.045269
Nov-15,-0.002644,-0.022226,-0.021624
Dec-15,-0.00323,-0.025186,0
Jan-16,0.013758,-0.016073,0
Feb-16,0.007096,0.005716,0
Mar-16,0.009172,0.044447,0
Apr-16,0.003841,0.03915,0
May-16,0.000256,0.006175,0
Jun-16,0.017968,0.009203,0
Jul-16,0.006322,0.027036,0
Aug-16,-0.001142,0.020923,0
Sep-16,-0.000589,0.006664,0
Oct-16,-0.00764858,0.00385955,0
Nov-16,-0.023652,-0.004744,0
Dec-16,0.001409,0.018456,0
Jan-17,0.001963,0.014522,0
