Date,IRS,HY,EMD
Feb-07,0.0152,0,0
Mar-07,-2.00E-04,0,0
Apr-07,0.0055,0,0
May-07,-0.0078,0,0
Jun-07,-0.0034,0,0
Jul-07,0.0077,0,0
Aug-07,0.012,0,0
Sep-07,0.0076,0,0
Oct-07,0.0091,0,0
Nov-07,0.0163,0,0
Dec-07,0.0026,0,0
Jan-08,0.0156,0,0
Feb-08,5.00E-04,0,0
Mar-08,0.001,0,0
Apr-08,0,0,0
May-08,-0.0067,0,0
Jun-08,-8.00E-04,0,0
Jul-08,-0.0019,0,0
Aug-08,0.0072,0,0
Sep-08,-0.0163,0,0
Oct-08,-0.0308,0,0
Nov-08,0.0197,0,0
Dec-08,0.041,0,0
Jan-09,-0.0046,0,0
Feb-09,-0.0061,0,0
Mar-09,0.0153,0,0
Apr-09,0.0141847,0,0
May-09,0.01375548,0,0
Jun-09,0.0086275,0,0
Jul-09,0.02453692,0,0
Aug-09,0.01185987,0,0
Sep-09,0.01139057,0.0097,0
Oct-09,0.00663569,0.01016569,0
Nov-09,0.01221084,0.0069734,0
Dec-09,-0.01128579,0.02760166,0
Jan-10,0.01564602,0.0095,0
Feb-10,0.00331419,-0.00285412,0
Mar-10,0.00054389,0.02790154,0
Apr-10,0.01078466,0.0206477,0
May-10,0.00549907,-0.03360861,0
Jun-10,0.01608164,0.01231886,0
Jul-10,0.0106577,0.03767101,0
Aug-10,0.0145485,-0.00059665,0
Sep-10,0.00154737,0.02827721,0
Oct-10,0.00388557,0.02746276,0
Nov-10,-0.00629411,-0.01487717,0
Dec-10,-0.01179065,0.01961924,0
Jan-11,0.00153873,0.02012552,0
Feb-11,0.00245021,0.01241398,0
Mar-11,0.00124848,0.00366689,0
Apr-11,0.01233152,0.01672007,0
May-11,0.01123024,0.00050429,0
Jun-11,-0.00350038,-0.01152398,0
Jul-11,0.01611661,0.01613219,0
Aug-11,0.01422979,-0.03934695,0
Sep-11,0.0081272,-0.02738985,0
Oct-11,0.00122302,0.06037707,0
Nov-11,-0.00076777,-0.02039348,0
Dec-11,0.01103052,0.02557979,0
Jan-12,0.00975665,0.02852802,0
Feb-12,0.00070465,0.02154831,0
Mar-12,-0.00457726,-0.00450086,0
Apr-12,0.0111174,0.0115196,0
May-12,0.0086051,-0.0156524,0
Jun-12,0.000661599,0.020944742,0
Jul-12,0.0128364,0.021186031,0
Aug-12,0.001248175,0.009141231,0
Sep-12,0.001959828,0.012072316,0
Oct-12,0.00161059,0.008072769,0
Nov-12,0.002042028,0.009497712,0
Dec-12,-0.002525,0.014745827,0.00028
Jan-13,-0.00583889,0.010730972,0.008624
Feb-13,0.005281,0.003713818,-0.002602376
Mar-13,0.001435877,0.010059519,-0.004915052
Apr-13,0.008657294,0.021387405,0.032320709
May-13,-0.016085068,-0.012266721,-0.062443582
Jun-13,-0.015849,-0.022976,-0.047575089
Jul-13,0.001522238,0.020249879,-0.000407
Aug-13,-0.005022975,-0.009918866,-0.040185708
Sep-13,0.009504123,0.011692427,0.038093
Oct-13,0.007851465,0.025862353,0.025576
Nov-13,-0.00241248,0.003065145,-0.03168
Dec-13,-0.005455,0.005266198,-0.005141225
Jan-14,0.013995895,0.004920974,-0.035513
Feb-14,0.005106143,0.021333378,0.030319491
Mar-14,-0.001825377,0.001908896,0.02229232
Apr-14,0.008159,0.005831976,0.009206
May-14,0.010962,0.007948943,0.025907646
Jun-14,0.001100544,0.008142835,0.007278
Jul-14,-0.00245,-0.015705547,-0.005352479
Aug-14,0.010463386,0.017849489,0.004582863
Sep-14,-0.005964815,-0.020521922,-0.044626718
Oct-14,0.009659,0.016880951,0.013001961
Nov-14,0.007209771,-0.005218797,-0.016101588
Dec-14,0.001909456,-0.008247208,-0.053151495
Jan-15,0.020733591,0.011863372,0.004382958
Feb-15,-0.009067523,0.0196698,-0.007537672
Mar-15,0.004784,-0.003742723,-0.02483006
Apr-15,-0.003270276,0.010449358,-0.209023759
May-15,-0.00248841,0.002997839,0.015813918
Jun-15,-0.010406388,-0.013503793,0.002569673
Jul-15,0.007301,0.003035195,-0.037926299
Aug-15,-0.00226,-0.010871623,-0.048326021
Sep-15,0.00808176,-0.026322784,-0.042180086
Oct-15,-0.000623771,0.033485123,0.054146809
Nov-15,-0.002885318,-0.020472248,-0.000111135
Dec-15,-0.002809,-0.017920867,0
Jan-16,0.017181911,-0.008652484,0
Feb-16,0.009055567,0.009478202,0
Mar-16,0.008207351,0.029173384,0
Apr-16,0.002840661,0.027472307,0
May-16,0.001607033,0.003459292,0
Jun-16,0.022,0.004793368,0
Jul-16,0.008353434,0.023180373,0
Aug-16,-0.002206806,0.020815555,0
Sep-16,-0.000901,0.005406364,0
Oct-16,-0.00740865,-0.00136054,0
Nov-16,-0.023106,-0.00517,0
Dec-16,0.001729,0.016721,0
Jan-17,0.001856,0.012526,0
