Date,IRS,HY,EMD
Feb-07,1,0,0
Mar-07,1,0,0
Apr-07,1,0,0
May-07,1,0,0
Jun-07,1,0,0
Jul-07,1,0,0
Aug-07,1,0,0
Sep-07,1,0,0
Oct-07,1,0,0
Nov-07,1,0,0
Dec-07,1,0,0
Jan-08,1,0,0
Feb-08,1,0,0
Mar-08,1,0,0
Apr-08,1,0,0
May-08,1,0,0
Jun-08,1,0,0
Jul-08,1,0,0
Aug-08,1,0,0
Sep-08,1,0,0
Oct-08,1,0,0
Nov-08,1,0,0
Dec-08,1,0,0
Jan-09,1,0,0
Feb-09,1,0,0
Mar-09,1,0,0
Apr-09,1,0,0
May-09,1,0,0
Jun-09,1,0,0
Jul-09,1,0,0
Aug-09,1,0,0
Sep-09,0.979584747,0.020415253,0
Oct-09,0.967370409,0.032629591,0
Nov-09,0.956707729,0.043292271,0
Dec-09,0.949971063,0.050028937,0
Jan-10,0.938367045,0.061632955,0
Feb-10,0.938727594,0.061272406,0
Mar-10,0.92845689,0.07154311,0
Apr-10,0.926163679,0.073836321,0
May-10,0.928831073,0.071168927,0
Jun-10,0.929058864,0.070941136,0
Jul-10,0.927300567,0.072699433,0
Aug-10,0.928931481,0.071068519,0
Sep-10,0.907276657,0.092723343,0
Oct-10,0.890938545,0.109061455,0
Nov-10,0.886027677,0.113972323,0
Dec-10,0.882178052,0.117821948,0
Jan-11,0.880253318,0.119746682,0
Feb-11,0.908164953,0.091835047,0
Mar-11,0.938180306,0.061819694,0
Apr-11,0.937940442,0.062059558,0
May-11,0.94401903,0.05598097,0
Jun-11,0.944238805,0.055761195,0
Jul-11,0.944242423,0.055757577,0
Aug-11,0.944658476,0.055341524,0
Sep-11,0.946503889,0.053496111,0
Oct-11,0.943497773,0.056502227,0
Nov-11,0.944521875,0.055478125,0
Dec-11,0.899635335,0.100364665,0
Jan-12,0.897962374,0.102037626,0
Feb-12,0.896011344,0.103988656,0
Mar-12,0.890840779,0.109159221,0
Apr-12,0.890802697,0.109197303,0
May-12,0.891678155,0.108321845,0
Jun-12,0.844792715,0.155207285,0
Jul-12,0.841781261,0.158218739,0
Aug-12,0.827790568,0.172209432,0
Sep-12,0.826354315,0.173645685,0
Oct-12,0.823130898,0.176869102,0
Nov-12,0.811543566,0.188456434,0
Dec-12,0.578077037,0.177862467,0.244060496
Jan-13,0.563518672,0.179651759,0.256829569
Feb-13,0.557380891,0.182939355,0.259679755
Mar-13,0.556449733,0.184932742,0.258617525
Apr-13,0.551813804,0.185706582,0.262479614
May-13,0.558175366,0.18872649,0.253098144
Jun-13,0.516718192,0.246045194,0.237236614
Jul-13,0.514547963,0.249568624,0.235883413
Aug-13,0.519423344,0.250873395,0.229703262
Sep-13,0.50194967,0.256792177,0.241258152
Oct-13,0.493620932,0.26106176,0.245317309
Nov-13,0.493085992,0.265816056,0.241097952
Dec-13,0.48000789,0.274023265,0.245968845
Jan-14,0.510039318,0.288780159,0.201180523
Feb-14,0.520990054,0.281367738,0.197642208
Mar-14,0.517971308,0.28078395,0.201244742
Apr-14,0.549173031,0.262265931,0.188561038
May-14,0.568617942,0.240162381,0.191219676
Jun-14,0.575951378,0.229140715,0.194907907
Jul-14,0.604830642,0.220300368,0.174868991
Aug-14,0.604393202,0.221887104,0.173719694
Sep-14,0.604149623,0.224449284,0.171401093
Oct-14,0.533675403,0.294778669,0.171545928
Nov-14,0.537528115,0.293458924,0.169012961
Dec-14,0.581631685,0.31429715,0.104071165
Jan-15,0.584201189,0.312942315,0.102856496
Feb-15,0.578586171,0.319173005,0.102240824
Mar-15,0.66627331,0.333052187,0.000674503
Apr-15,0.74534143,0.254220981,0.000437588
May-15,0.744523624,0.255472534,3.84E-06
Jun-15,0.744065541,0.255930552,3.91E-06
Jul-15,0.739736564,0.260259624,3.81E-06
Aug-15,0.787660933,0.212335563,3.50E-06
Sep-15,0.802796006,0.197200601,3.39E-06
Oct-15,0.797428771,0.202567676,3.55E-06
Nov-15,0.800129253,0.199870747,1.95E-12
Dec-15,0.790275169,0.209724831,0
Jan-16,0.794507185,0.205492815,0
Feb-16,0.794295546,0.205704454,0
Mar-16,0.790912262,0.209087738,0
Apr-16,0.784284221,0.215715779,0
May-16,0.782913643,0.217086357,0
Jun-16,0.803338467,0.196661533,0
Jul-16,0.801024515,0.198975485,0
Aug-16,0.797238475,0.202761525,0
Sep-16,0.796219322,0.203780678,0
Oct-16,0.795231893,0.204768107,0
Nov-16,0.773365738,0.226634262,0
Dec-16,0.77070307,0.22929693,0
Jan-17,0.768825489,0.231174511,0
